symbol	NCG_symbol	entrez
A1BG	A1BG	1
ABG	A1BG	1
GAB	A1BG	1
HYST2477	A1BG	1
A2M	A2M	2
A2MD	A2M	2
CPAMD5	A2M	2
FWP007	A2M	2
S863-7	A2M	2
NAT1	NAT1	9
MNAT	NAT1	9
NATI	NAT1	9
NAT2	NAT2	10
NAT-2	NAT2	10
PNAT	NAT2	10
SERPINA3	SERPINA3	12
AACT	SERPINA3	12
GIG24	SERPINA3	12
GIG25	SERPINA3	12
AADAC	AADAC	13
CES5A1	AADAC	13
AAMP	AAMP	14
AANAT	AANAT	15
DSPS	AANAT	15
SNAT	AANAT	15
AARS1	AARS1	16
AARS	AARS1	16
CMT2N	AARS1	16
EIEE29	AARS1	16
ABAT	ABAT	18
GABA-AT	ABAT	18
GABAT	ABAT	18
NPD009	ABAT	18
ABCA1	ABCA1	19
ABC-1	ABCA1	19
CERP	ABCA1	19
HDLCQTL13	ABCA1	19
HDLDT1	ABCA1	19
HPALP1	ABCA1	19
TGD	ABCA1	19
ABCA2	ABCA2	20
ABC2	ABCA2	20
IDPOGSA	ABCA2	20
ABCA3	ABCA3	21
ABC-C	ABCA3	21
ABC3	ABCA3	21
EST111653	ABCA3	21
LBM180	ABCA3	21
SMDP3	ABCA3	21
ABCB7	ABCB7	22
ABC7	ABCB7	22
ASAT	ABCB7	22
Atm1p	ABCB7	22
EST140535	ABCB7	22
ABCF1	ABCF1	23
ABC27	ABCF1	23
ABC50	ABCF1	23
ABCA4	ABCA4	24
ABC10	ABCA4	24
ABCR	ABCA4	24
ARMD2	ABCA4	24
CORD3	ABCA4	24
FFM	ABCA4	24
RP19	ABCA4	24
STGD	ABCA4	24
STGD1	ABCA4	24
ABL1	ABL1	25
BCR-ABL	ABL1	25
CHDSKM	ABL1	25
JTK7	ABL1	25
bcr/abl	ABL1	25
c-ABL	ABL1	25
c-ABL1	ABL1	25
v-abl	ABL1	25
AOC1	AOC1	26
DAO1	AOC1	26
KAO	AOC1	26
ABL2	ABL2	27
ABLL	ABL2	27
ABO	ABO	28
A3GALT1	ABO	28
NAGAT	ABO	28
ABR	ABR	29
MDB	ABR	29
ACAA1	ACAA1	30
ACAA	ACAA1	30
PTHIO	ACAA1	30
THIO	ACAA1	30
ACACA	ACACA	31
ACACD	ACACA	31
ACC	ACACA	31
ACACB	ACACB	32
ACCB	ACACB	32
HACC275	ACACB	32
ACADL	ACADL	33
ACAD4	ACADL	33
ACADM	ACADM	34
ACAD1	ACADM	34
MCADH	ACADM	34
ACADS	ACADS	35
ACAD3	ACADS	35
SCAD	ACADS	35
ACADSB	ACADSB	36
2-MEBCAD	ACADSB	36
ACAD7	ACADSB	36
SBCAD	ACADSB	36
ACADVL	ACADVL	37
ACAD6	ACADVL	37
LCACD	ACADVL	37
VLCAD	ACADVL	37
ACAT1	ACAT1	38
THIL	ACAT1	38
ACAT2	ACAT2	39
ASIC2	ASIC2	40
ACCN	ASIC2	40
ACCN1a	ASIC2	40
BNaC1	ASIC2	40
MDEG	ASIC2	40
hBNaC1	ASIC2	40
ASIC1	ASIC1	41
ACCN2	ASIC1	41
ASIC	ASIC1	41
BNaC2	ASIC1	41
ACHE	ACHE	43
ACEE	ACHE	43
ARACHE	ACHE	43
N-ACHE	ACHE	43
YT	ACHE	43
ACLY	ACLY	47
ACL	ACLY	47
ATPCL	ACLY	47
CLATP	ACLY	47
ACO1	ACO1	48
ACONS	ACO1	48
HEL60	ACO1	48
IREB1	ACO1	48
IREBP	ACO1	48
IREBP1	ACO1	48
IRP1	ACO1	48
ACR	ACR	49
ACO2	ACO2	50
ACONM	ACO2	50
ICRD	ACO2	50
OCA8	ACO2	50
OPA9	ACO2	50
ACOX1	ACOX1	51
ACOX	ACOX1	51
PALMCOX	ACOX1	51
SCOX	ACOX1	51
ACP1	ACP1	52
HAAP	ACP1	52
LMW-PTP	ACP1	52
LMWPTP	ACP1	52
ACP2	ACP2	53
ACP5	ACP5	54
HPAP	ACP5	54
TRACP5a	ACP5	54
TRACP5b	ACP5	54
TrATPase	ACP5	54
ACP3	ACP3	55
5'-NT	ACP3	55
ACP-3	ACP3	55
ACPP	ACP3	55
TM-PAP	ACP3	55
ACRV1	ACRV1	56
D11S4365	ACRV1	56
SP-10	ACRV1	56
SPACA2	ACRV1	56
ACTA1	ACTA1	58
ACTA	ACTA1	58
ASMA	ACTA1	58
CFTD1	ACTA1	58
CFTDM	ACTA1	58
MPFD	ACTA1	58
NEM3	ACTA1	58
SHPM	ACTA1	58
ACTA2	ACTA2	59
ACTSA	ACTA2	59
ACTB	ACTB	60
BRWS1	ACTB	60
PS1TP5BP1	ACTB	60
ACTC1	ACTC1	70
ACTC	ACTC1	70
ASD5	ACTC1	70
CMD1R	ACTC1	70
CMH11	ACTC1	70
LVNC4	ACTC1	70
ACTG1	ACTG1	71
ACTG	ACTG1	71
DFNA20	ACTG1	71
DFNA26	ACTG1	71
HEL-176	ACTG1	71
ACTG2	ACTG2	72
ACTA3	ACTG2	72
ACTE	ACTG2	72
ACTL3	ACTG2	72
ACTSG	ACTG2	72
VSCM	ACTG2	72
ACTN4	ACTN4	81
ACTININ-4	ACTN4	81
FSGS	ACTN4	81
FSGS1	ACTN4	81
ACTL6A	ACTL6A	86
ARPN-BETA	ACTL6A	86
Arp4	ACTL6A	86
BAF53A	ACTL6A	86
INO80K	ACTL6A	86
ACTN1	ACTN1	87
BDPLT15	ACTN1	87
ACTN2	ACTN2	88
CMD1AA	ACTN2	88
CMH23	ACTN2	88
MYOCOZ	ACTN2	88
ACTN3	ACTN3	89
ACTN3D	ACTN3	89
ACVR1	ACVR1	90
ACTRIA	ACVR1	90
ACVRLK2	ACVR1	90
ALK2	ACVR1	90
SKR1	ACVR1	90
TSRI	ACVR1	90
ACVR1B	ACVR1B	91
ACTRIB	ACVR1B	91
ALK4	ACVR1B	91
SKR2	ACVR1B	91
ACVR2A	ACVR2A	92
ACTRII	ACVR2A	92
ACVR2	ACVR2A	92
ACVR2B	ACVR2B	93
ACTRIIB	ACVR2B	93
ActR-IIB	ACVR2B	93
HTX4	ACVR2B	93
ACVRL1	ACVRL1	94
ACVRLK1	ACVRL1	94
ALK-1	ACVRL1	94
HHT	ACVRL1	94
HHT2	ACVRL1	94
ORW2	ACVRL1	94
SKR3	ACVRL1	94
TSR-I	ACVRL1	94
ACY1	ACY1	95
ACY-1D	ACY1	95
HEL-S-5	ACY1	95
ACYP1	ACYP1	97
ACYPE	ACYP1	97
ACYP2	ACYP2	98
ACYM	ACYP2	98
ACYP	ACYP2	98
ADA	ADA	100
ADAM8	ADAM8	101
CD156	ADAM8	101
CD156a	ADAM8	101
MS2	ADAM8	101
ADAM10	ADAM10	102
AD10	ADAM10	102
AD18	ADAM10	102
CD156c	ADAM10	102
CDw156	ADAM10	102
HsT18717	ADAM10	102
kuz	ADAM10	102
ADAR	ADAR	103
ADAR1	ADAR	103
AGS6	ADAR	103
DRADA	ADAR	103
DSH	ADAR	103
DSRAD	ADAR	103
G1P1	ADAR	103
IFI4	ADAR	103
K88DSRBP	ADAR	103
P136	ADAR	103
ADARB1	ADARB1	104
ADAR2	ADARB1	104
DRABA2	ADARB1	104
DRADA2	ADARB1	104
NEDHYMS	ADARB1	104
RED1	ADARB1	104
ADARB2	ADARB2	105
ADAR3	ADARB2	105
RED2	ADARB2	105
ADCY1	ADCY1	107
AC1	ADCY1	107
DFNB44	ADCY1	107
ADCY2	ADCY2	108
AC2	ADCY2	108
HBAC2	ADCY2	108
ADCY3	ADCY3	109
AC-III	ADCY3	109
AC3	ADCY3	109
BMIQ19	ADCY3	109
ADCY5	ADCY5	111
AC5	ADCY5	111
FDFM	ADCY5	111
ADCY6	ADCY6	112
AC6	ADCY6	112
LCCS8	ADCY6	112
ADCY7	ADCY7	113
AC7	ADCY7	113
ADCY8	ADCY8	114
AC8	ADCY8	114
HBAC1	ADCY8	114
ADCY9	ADCY9	115
AC9	ADCY9	115
ACIX	ADCY9	115
ADCYAP1	ADCYAP1	116
ADCYAP1R1	ADCYAP1R1	117
PAC1R	ADCYAP1R1	117
PACAPR	ADCYAP1R1	117
PACAPRI	ADCYAP1R1	117
ADD1	ADD1	118
ADDA	ADD1	118
ADD2	ADD2	119
ADDB	ADD2	119
ADD3	ADD3	120
ADDL	ADD3	120
PLIN2	PLIN2	123
ADFP	PLIN2	123
ADRP	PLIN2	123
ADH1A	ADH1A	124
ADH1	ADH1A	124
ADH1B	ADH1B	125
ADH2	ADH1B	125
HEL-S-117	ADH1B	125
ADH1C	ADH1C	126
ADH3	ADH1C	126
ADH4	ADH4	127
ADH-2	ADH4	127
HEL-S-4	ADH4	127
ADH5	ADH5	128
ADH-3	ADH5	128
ADHX	ADH5	128
GSH-FDH	ADH5	128
GSNOR	ADH5	128
HEL-S-60p	ADH5	128
ADH6	ADH6	130
ADH-5	ADH6	130
ADH7	ADH7	131
ADK	ADK	132
AK	ADK	132
ADM	ADM	133
ADORA1	ADORA1	134
RDC7	ADORA1	134
ADORA2A	ADORA2A	135
A2aR	ADORA2A	135
RDC8	ADORA2A	135
ADORA2B	ADORA2B	136
ADORA3	ADORA3	140
A3AR	ADORA3	140
ADPRH	ADPRH	141
hARH1	ADPRH	141
PARP1	PARP1	142
ADPRT	PARP1	142
ADPRT 1	PARP1	142
ADPRT1	PARP1	142
ARTD1	PARP1	142
PARP-1	PARP1	142
PPOL	PARP1	142
pADPRT-1	PARP1	142
PARP4	PARP4	143
ADPRTL1	PARP4	143
ARTD4	PARP4	143
PARP-4	PARP4	143
PH5P	PARP4	143
VAULT3	PARP4	143
VPARP	PARP4	143
VWA5C	PARP4	143
p193	PARP4	143
ADRA1D	ADRA1D	146
ADRA1R	ADRA1D	146
ALPHA1	ADRA1D	146
dJ779E11.2	ADRA1D	146
ADRA1B	ADRA1B	147
ALPHA1BAR	ADRA1B	147
ADRA1A	ADRA1A	148
ADRA1C	ADRA1A	148
ADRA1L1	ADRA1A	148
ALPHA1AAR	ADRA1A	148
ADRA2A	ADRA2A	150
ADRA2	ADRA2A	150
ADRA2R	ADRA2A	150
ADRAR	ADRA2A	150
ALPHA2AAR	ADRA2A	150
ADRA2B	ADRA2B	151
ADRA2L1	ADRA2B	151
ADRA2RL1	ADRA2B	151
ADRARL1	ADRA2B	151
ALPHA2BAR	ADRA2B	151
alpha-2BAR	ADRA2B	151
ADRA2C	ADRA2C	152
ADRA2L2	ADRA2C	152
ADRA2RL2	ADRA2C	152
ADRARL2	ADRA2C	152
ALPHA2CAR	ADRA2C	152
ADRB1	ADRB1	153
ADRB1R	ADRB1	153
B1AR	ADRB1	153
BETA1AR	ADRB1	153
FNSS2	ADRB1	153
RHR	ADRB1	153
ADRB2	ADRB2	154
ADRB2R	ADRB2	154
ADRBR	ADRB2	154
B2AR	ADRB2	154
BETA2AR	ADRB2	154
ADRB3	ADRB3	155
BETA3AR	ADRB3	155
GRK2	GRK2	156
ADRBK1	GRK2	156
BARK1	GRK2	156
BETA-ARK1	GRK2	156
GRK3	GRK3	157
ADRBK2	GRK3	157
BARK2	GRK3	157
ADSL	ADSL	158
AMPS	ADSL	158
ASASE	ADSL	158
ADSS2	ADSS2	159
ADEH	ADSS2	159
ADSS	ADSS2	159
ADSS 2	ADSS2	159
AP2A1	AP2A1	160
ADTAA	AP2A1	160
AP2-ALPHA	AP2A1	160
CLAPA1	AP2A1	160
AP2A2	AP2A2	161
ADTAB	AP2A2	161
CLAPA2	AP2A2	161
HIP-9	AP2A2	161
HIP9	AP2A2	161
HYPJ	AP2A2	161
AP1B1	AP1B1	162
ADTB1	AP1B1	162
AP105A	AP1B1	162
BAM22	AP1B1	162
CLAPB2	AP1B1	162
KIDAR	AP1B1	162
AP2B1	AP2B1	163
ADTB2	AP2B1	163
AP105B	AP2B1	163
AP2-BETA	AP2B1	163
CLAPB1	AP2B1	163
AP1G1	AP1G1	164
ADTG	AP1G1	164
CLAPG1	AP1G1	164
AEBP1	AEBP1	165
ACLP	AEBP1	165
TLE5	TLE5	166
AES	TLE5	166
AES-1	TLE5	166
AES-2	TLE5	166
GRG	TLE5	166
GRG5	TLE5	166
Grg-5	TLE5	166
CRISP1	CRISP1	167
AEGL1	CRISP1	167
CRISP-1	CRISP1	167
HEL-S-57	CRISP1	167
HSCRISP1D	CRISP1	167
HSCRISP1G	CRISP1	167
HUMARP	CRISP1	167
AFM	AFM	173
ALB2	AFM	173
ALBA	AFM	173
AFP	AFP	174
AFPD	AFP	174
FETA	AFP	174
HPAFP	AFP	174
AGA	AGA	175
AGU	AGA	175
ASRG	AGA	175
ACAN	ACAN	176
AGCAN	ACAN	176
CSPG1	ACAN	176
CSPGCP	ACAN	176
SEDK	ACAN	176
SSOAOD	ACAN	176
AGER	AGER	177
SCARJ1	AGER	177
AGL	AGL	178
GDE	AGL	178
AGRP	AGRP	181
AGRT	AGRP	181
ASIP2	AGRP	181
JAG1	JAG1	182
AGS	JAG1	182
AHD	JAG1	182
AWS	JAG1	182
CD339	JAG1	182
DCHE	JAG1	182
HJ1	JAG1	182
JAGL1	JAG1	182
AGT	AGT	183
ANHU	AGT	183
SERPINA8	AGT	183
hFLT1	AGT	183
AGTR1	AGTR1	185
AG2SB	AGTR1	185
AT1AR	AGTR1	185
AT1B	AGTR1	185
AT1BR	AGTR1	185
AT1R	AGTR1	185
AT2R1	AGTR1	185
HAT1R	AGTR1	185
AGTR2	AGTR2	186
AT2	AGTR2	186
ATGR2	AGTR2	186
MRX88	AGTR2	186
APLNR	APLNR	187
AGTRL1	APLNR	187
APJ	APLNR	187
APJR	APLNR	187
HG11	APLNR	187
AGXT	AGXT	189
AGT11	AGXT	189
PH1	AGXT	189
SPAT	AGXT	189
SPT	AGXT	189
TLH6	AGXT	189
NR0B1	NR0B1	190
AHC	NR0B1	190
AHCH	NR0B1	190
AHX	NR0B1	190
DAX-1	NR0B1	190
DAX1	NR0B1	190
GTD	NR0B1	190
NROB1	NR0B1	190
SRXY2	NR0B1	190
AHCY	AHCY	191
SAHH	AHCY	191
adoHcyase	AHCY	191
AHR	AHR	196
RP85	AHR	196
bHLHe76	AHR	196
AHSG	AHSG	197
A2HS	AHSG	197
AHS	AHSG	197
APMR1	AHSG	197
FETUA	AHSG	197
HSGA	AHSG	197
AIF1	AIF1	199
AIF-1	AIF1	199
IBA1	AIF1	199
IRT-1	AIF1	199
CRYBG1	CRYBG1	202
ST4	CRYBG1	202
AK1	AK1	203
HTL-S-58j	AK1	203
AK2	AK2	204
ADK2	AK2	204
AK4	AK4	205
AK 4	AK4	205
AK3L2	AK4	205
AKT1	AKT1	207
AKT	AKT1	207
CWS6	AKT1	207
PKB-ALPHA	AKT1	207
PRKBA	AKT1	207
RAC	AKT1	207
RAC-ALPHA	AKT1	207
AKT2	AKT2	208
HIHGHH	AKT2	208
PKBB	AKT2	208
PKBBETA	AKT2	208
PRKBB	AKT2	208
RAC-BETA	AKT2	208
ALAD	ALAD	210
ALADH	ALAD	210
PBGS	ALAD	210
ALAS1	ALAS1	211
ALAS	ALAS1	211
ALAS-H	ALAS1	211
ALAS3	ALAS1	211
ALASH	ALAS1	211
MIG4	ALAS1	211
ALAS2	ALAS2	212
ALAS-E	ALAS2	212
ALASE	ALAS2	212
ANH1	ALAS2	212
SIDBA1	ALAS2	212
XLDPP	ALAS2	212
XLEPP	ALAS2	212
XLSA	ALAS2	212
ALB	ALB	213
HSA	ALB	213
PRO0883	ALB	213
PRO0903	ALB	213
PRO1341	ALB	213
ALCAM	ALCAM	214
CD166	ALCAM	214
MEMD	ALCAM	214
ABCD1	ABCD1	215
ABC42	ABCD1	215
ALD	ABCD1	215
ALDP	ABCD1	215
ALDH1A1	ALDH1A1	216
ALDH-E1	ALDH1A1	216
ALDH1	ALDH1A1	216
ALDH11	ALDH1A1	216
HEL-9	ALDH1A1	216
HEL-S-53e	ALDH1A1	216
HEL12	ALDH1A1	216
PUMB1	ALDH1A1	216
RALDH1	ALDH1A1	216
ALDH2	ALDH2	217
ALDH-E2	ALDH2	217
ALDHI	ALDH2	217
ALDM	ALDH2	217
ALDH3A1	ALDH3A1	218
ALDH3	ALDH3A1	218
ALDHIII	ALDH3A1	218
ALDH1B1	ALDH1B1	219
ALDH5	ALDH1B1	219
ALDHX	ALDH1B1	219
ALDH1A3	ALDH1A3	220
ALDH1A6	ALDH1A3	220
ALDH6	ALDH1A3	220
MCOP8	ALDH1A3	220
RALDH3	ALDH1A3	220
ALDH3B1	ALDH3B1	221
ALDH3B2	ALDH3B2	222
ALDH8	ALDH3B2	222
ALDH9A1	ALDH9A1	223
ALDH9	ALDH9A1	223
TMABA-DH	ALDH9A1	223
TMABADH	ALDH9A1	223
TMABALDH	ALDH9A1	223
ALDH3A2	ALDH3A2	224
ALDH10	ALDH3A2	224
SLS	ALDH3A2	224
ABCD2	ABCD2	225
ABC39	ABCD2	225
ALDL1	ABCD2	225
ALDR	ABCD2	225
ALDRP	ABCD2	225
hALDR	ABCD2	225
ALDOA	ALDOA	226
GSD12	ALDOA	226
HEL-S-87p	ALDOA	226
ALDOB	ALDOB	229
ALDB	ALDOB	229
ALDO2	ALDOB	229
ALDOC	ALDOC	230
AKR1B1	AKR1B1	231
ALR2	AKR1B1	231
ALK	ALK	238
CD246	ALK	238
NBLST3	ALK	238
ALOX12	ALOX12	239
12S-LOX	ALOX12	239
LOG12	ALOX12	239
ALOX5	ALOX5	240
5-LO	ALOX5	240
5-LOX	ALOX5	240
5LPG	ALOX5	240
LOG5	ALOX5	240
ALOX5AP	ALOX5AP	241
FLAP	ALOX5AP	241
ALOX12B	ALOX12B	242
12R-LOX	ALOX12B	242
ARCI2	ALOX12B	242
ALOX15	ALOX15	246
15-LOX	ALOX15	246
15-LOX-1	ALOX15	246
LOG15	ALOX15	246
ALOX15B	ALOX15B	247
15-LOX-2	ALOX15B	247
ALPI	ALPI	248
ALPL	ALPL	249
AP-TNAP	ALPL	249
APTNAP	ALPL	249
TNALP	ALPL	249
TNAP	ALPL	249
TNSALP	ALPL	249
ALPP	ALPP	250
PALP	ALPP	250
ALPG	ALPG	251
ALPPL	ALPG	251
ALPPL2	ALPG	251
ALX3	ALX3	257
FND	ALX3	257
FND1	ALX3	257
AMBN	AMBN	258
AI1F	AMBN	258
AMBP	AMBP	259
A1M	AMBP	259
EDC1	AMBP	259
HI30	AMBP	259
IATIL	AMBP	259
ITI	AMBP	259
ITIL	AMBP	259
ITILC	AMBP	259
UTI	AMBP	259
AMD1	AMD1	262
ADOMETDC	AMD1	262
AMD	AMD1	262
SAMDC	AMD1	262
AMELX	AMELX	265
AI1E	AMELX	265
AIH1	AMELX	265
ALGN	AMELX	265
AMG	AMELX	265
AMGX	AMELX	265
AMELY	AMELY	266
AMGY	AMELY	266
AMFR	AMFR	267
GP78	AMFR	267
RNF45	AMFR	267
AMH	AMH	268
MIS	AMH	268
AMHR2	AMHR2	269
AMHR	AMHR2	269
MISR2	AMHR2	269
MISRII	AMHR2	269
MRII	AMHR2	269
AMPD1	AMPD1	270
MMDD	AMPD1	270
AMPD2	AMPD2	271
PCH9	AMPD2	271
SPG63	AMPD2	271
AMPD3	AMPD3	272
AMPH	AMPH	273
AMPH1	AMPH	273
BIN1	BIN1	274
AMPH2	BIN1	274
AMPHL	BIN1	274
CNM2	BIN1	274
SH3P9	BIN1	274
AMT	AMT	275
GCST	AMT	275
GCVT	AMT	275
AMY1A	AMY1A	276
AMY1B	AMY1B	277
AMY1C	AMY1C	278
AMY2A	AMY2A	279
AMY2B	AMY2B	280
AMY3	AMY2B	280
HXA	AMY2B	280
ANG	ANG	283
ALS9	ANG	283
HEL168	ANG	283
RAA1	ANG	283
RNASE5	ANG	283
ANGPT1	ANGPT1	284
AGPT	ANGPT1	284
ANGPT2	ANGPT2	285
AGPT2	ANGPT2	285
ANK1	ANK1	286
SPH1	ANK1	286
ANK2	ANK2	287
ANK-2	ANK2	287
CFAP87	ANK2	287
FAP87	ANK2	287
LQT4	ANK2	287
brank-2	ANK2	287
ANK3	ANK3	288
ANKYRIN-G	ANK3	288
MRT37	ANK3	288
ANPEP	ANPEP	290
APN	ANPEP	290
CD13	ANPEP	290
PEPN	ANPEP	290
SLC25A4	SLC25A4	291
ANT 1	SLC25A4	291
MTDPS12	SLC25A4	291
MTDPS12A	SLC25A4	291
PEO2	SLC25A4	291
PEO3	SLC25A4	291
PEOA2	SLC25A4	291
SLC25A5	SLC25A5	292
ANT2	SLC25A5	292
T3	SLC25A5	292
SLC25A6	SLC25A6	293
AAC3	SLC25A6	293
ANT 2	SLC25A6	293
ANT 3	SLC25A6	293
ANT3	SLC25A6	293
ANT3Y	SLC25A6	293
ANXA1	ANXA1	301
ANX1	ANXA1	301
ANXA2	ANXA2	302
ANX2	ANXA2	302
ANX2L4	ANXA2	302
CAL1H	ANXA2	302
HEL-S-270	ANXA2	302
LPC2	ANXA2	302
LPC2D	ANXA2	302
P36	ANXA2	302
PAP-IV	ANXA2	302
ANXA3	ANXA3	306
ANX3	ANXA3	306
ANXA4	ANXA4	307
ANX4	ANXA4	307
HEL-S-274	ANXA4	307
P32.5	ANXA4	307
PIG28	ANXA4	307
PP4-X	ANXA4	307
ZAP36	ANXA4	307
ANXA5	ANXA5	308
ANX5	ANXA5	308
ENX2	ANXA5	308
HEL-S-7	ANXA5	308
RPRGL3	ANXA5	308
ANXA6	ANXA6	309
ANX6	ANXA6	309
CBP68	ANXA6	309
CPB-II	ANXA6	309
ANXA7	ANXA7	310
ANX7	ANXA7	310
SNX	ANXA7	310
SYNEXIN	ANXA7	310
ANXA11	ANXA11	311
ALS23	ANXA11	311
ANX11	ANXA11	311
CAP-50	ANXA11	311
CAP50	ANXA11	311
ANXA13	ANXA13	312
ANX13	ANXA13	312
ISA	ANXA13	312
AOAH	AOAH	313
AOC2	AOC2	314
DAO2	AOC2	314
RAO	AOC2	314
AOX1	AOX1	316
AO	AOX1	316
AOH1	AOX1	316
APAF1	APAF1	317
APAF-1	APAF1	317
NUDT2	NUDT2	318
APAH1	NUDT2	318
APOF	APOF	319
Apo-F	APOF	319
LTIP	APOF	319
APBA1	APBA1	320
D9S411E	APBA1	320
MINT1	APBA1	320
X11	APBA1	320
X11A	APBA1	320
X11ALPHA	APBA1	320
APBA2	APBA2	321
D15S1518E	APBA2	321
HsT16821	APBA2	321
LIN-10	APBA2	321
MGC:14091	APBA2	321
MINT2	APBA2	321
X11-BETA	APBA2	321
X11L	APBA2	321
APBB1	APBB1	322
FE65	APBB1	322
MGC:9072	APBB1	322
RIR	APBB1	322
APBB2	APBB2	323
FE65L	APBB2	323
FE65L1	APBB2	323
APC	APC	324
BTPS2	APC	324
DESMD	APC	324
DP2.5	APC	324
PPP1R46	APC	324
APCS	APCS	325
HEL-S-92n	APCS	325
AIRE	AIRE	326
AIRE1	AIRE	326
APECED	AIRE	326
APSI	AIRE	326
PGA1	AIRE	326
APEH	APEH	327
AARE	APEH	327
ACPH	APEH	327
APH	APEH	327
D3S48E	APEH	327
OPH	APEH	327
APEX1	APEX1	328
APE1	APEX1	328
APEN	APEX1	328
APEX	APEX1	328
APX	APEX1	328
BIRC2	BIRC2	329
API1	BIRC2	329
HIAP2	BIRC2	329
Hiap-2	BIRC2	329
MIHB	BIRC2	329
RNF48	BIRC2	329
c-IAP1	BIRC2	329
cIAP1	BIRC2	329
BIRC3	BIRC3	330
API2	BIRC3	330
CIAP2	BIRC3	330
HAIP1	BIRC3	330
HIAP1	BIRC3	330
IAP-1	BIRC3	330
MALT2	BIRC3	330
RNF49	BIRC3	330
c-IAP2	BIRC3	330
XIAP	XIAP	331
API3	XIAP	331
BIRC4	XIAP	331
IAP-3	XIAP	331
ILP1	XIAP	331
MIHA	XIAP	331
XLP2	XIAP	331
hIAP-3	XIAP	331
hIAP3	XIAP	331
BIRC5	BIRC5	332
API4	BIRC5	332
APLP1	APLP1	333
APLP	APLP1	333
APLP2	APLP2	334
APLP-2	APLP2	334
APPH	APLP2	334
CDEBP	APLP2	334
APOA1	APOA1	335
HPALP2	APOA1	335
apo(a)	APOA1	335
APOA2	APOA2	336
Apo-AII	APOA2	336
ApoA-II	APOA2	336
apoAII	APOA2	336
APOA4	APOA4	337
APOB	APOB	338
FCHL2	APOB	338
FLDB	APOB	338
LDLCQ4	APOB	338
apoB-100	APOB	338
apoB-48	APOB	338
APOBEC1	APOBEC1	339
APOBEC-1	APOBEC1	339
BEDP	APOBEC1	339
CDAR1	APOBEC1	339
HEPR	APOBEC1	339
APOC1	APOC1	341
Apo-CI	APOC1	341
ApoC-I	APOC1	341
apo-CIB	APOC1	341
apoC-IB	APOC1	341
AQP8	AQP8	343
AQP-8	AQP8	343
APOC2	APOC2	344
APO-CII	APOC2	344
APOC-II	APOC2	344
APOC3	APOC3	345
APOCIII	APOC3	345
APOC4	APOC4	346
APO-CIV	APOC4	346
APOC-IV	APOC4	346
APOD	APOD	347
APOE	APOE	348
APO-E	APOE	348
ApoE4	APOE	348
LDLCQ5	APOE	348
LPG	APOE	348
APOH	APOH	350
B2G1	APOH	350
B2GP1	APOH	350
APP	APP	351
AAA	APP	351
ABETA	APP	351
ABPP	APP	351
AD1I	APP	351
CTFgamma	APP	351
CVAP	APP	351
PN2	APP	351
preA4	APP	351
APRT	APRT	353
AMPD	APRT	353
KLK3	KLK3	354
KLK2A1	KLK3	354
hK3	KLK3	354
FAS	FAS	355
ALPS1A	FAS	355
APO-1	FAS	355
CD951	FAS	355
FASTM	FAS	355
TNFRSF6	FAS	355
FASLG	FASLG	356
ALPS1B	FASLG	356
APT1LG1	FASLG	356
APTL	FASLG	356
CD178	FASLG	356
CD95-L	FASLG	356
CD95L	FASLG	356
FASL	FASLG	356
TNFSF6	FASLG	356
TNLG1A	FASLG	356
SHROOM2	SHROOM2	357
APXL	SHROOM2	357
HSAPXL	SHROOM2	357
AQP1	AQP1	358
AQP-CHIP	AQP1	358
CO	AQP1	358
AQP2	AQP2	359
AQP-CD	AQP2	359
WCH-CD	AQP2	359
AQP3	AQP3	360
AQP-3	AQP3	360
GIL	AQP3	360
AQP4	AQP4	361
MIWC	AQP4	361
WCH4	AQP4	361
AQP5	AQP5	362
AQP-5	AQP5	362
PPKB	AQP5	362
AQP6	AQP6	363
AQP2L	AQP6	363
AQP7	AQP7	364
AQP7L	AQP7	364
AQPap	AQP7	364
GLYCQTL	AQP7	364
AQP9	AQP9	366
AQP-9	AQP9	366
HsT17287	AQP9	366
SSC1	AQP9	366
T17287	AQP9	366
AR	AR	367
AIS8	AR	367
DHTR	AR	367
HUMARA	AR	367
HYSP1	AR	367
KD	AR	367
NR3C4	AR	367
SBMA	AR	367
SMAX1	AR	367
TFM	AR	367
ABCC6	ABCC6	368
ABC34	ABCC6	368
EST349056	ABCC6	368
GACI2	ABCC6	368
MOAT-E	ABCC6	368
MOATE	ABCC6	368
PXE	ABCC6	368
PXE1	ABCC6	368
URG7	ABCC6	368
ARAF	ARAF	369
A-RAF1	ARAF	369
PKS2	ARAF	369
RAFA1	ARAF	369
ARCN1	ARCN1	372
COPD	ARCN1	372
SRMMD	ARCN1	372
TRIM23	TRIM23	373
ARFD1	TRIM23	373
RNF46	TRIM23	373
AREG	AREG	374
CRDGF	AREG	374
SDGF	AREG	374
ARF1	ARF1	375
PVNH8	ARF1	375
ARF3	ARF3	377
ARF4	ARF4	378
ARF2	ARF4	378
ARL4D	ARL4D	379
ARF4L	ARL4D	379
ARF5	ARF5	381
ARF6	ARF6	382
ARG1	ARG1	383
ARG2	ARG2	384
RHOA	RHOA	387
ARH12	RHOA	387
ARHA	RHOA	387
EDFAOB	RHOA	387
RHO12	RHOA	387
RHOH12	RHOA	387
RHOB	RHOB	388
ARH6	RHOB	388
ARHB	RHOB	388
MST081	RHOB	388
